ts,symbol,timeframe,price,ema_fast_period,ema_slow_period,ema_trend_period,rsi_period,rsi_min,rsi_max,tp_pct,sl_pct,ema_fast,ema_slow,ema_trend,rsi,buy_signal,position_open
2026-02-24 20:00:00,ETH/USDC,15m,1852.54,20,50,200,14,40.0,55.0,1.2,0.7,1848.9925718564086,1842.8088502471319,1867.0772196735943,56.075778351530865,False,False
2026-02-24 20:15:00,ETH/USDC,5m,1853.55,20,50,100,14,35.0,60.0,1.2,0.7,1852.6620445306592,1850.4726339264148,1844.4424919107746,51.795637981295364,False,False
2026-02-24 20:25:00,ETH/USDC,1m,1857.47,20,50,100,14,35.0,60.0,1.2,0.7,1854.5955391919358,1853.7164553433379,1853.7791447298744,64.47579191986159,False,False
2026-02-24 20:26:00,ETH/USDC,1m,1858.44,20,50,100,14,35.0,60.0,1.2,0.7,1854.9616783206582,1853.9023376366126,1853.9060027403648,67.31004644051134,False,False
2026-02-24 20:27:00,ETH/USDC,1m,1857.75,20,50,100,14,35.0,60.0,1.2,0.7,1855.2272327554435,1854.0515347608577,1853.8915081700793,63.433066894389654,False,False
2026-02-24 20:28:00,ETH/USDC,1m,1857.87,20,50,100,14,35.0,60.0,1.2,0.7,1855.4789248832035,1854.2027154802747,1854.0472648073282,63.8232767713226,True,False
2026-02-24 20:30:00,ETH/USDC,1m,1855.45,20,50,100,14,35.0,60.0,1.2,0.7,1855.590865949857,1854.350237625675,1854.1486311342258,51.39485078400255,True,False
2026-02-24 20:31:00,ETH/USDC,1m,1856.25,20,50,100,14,35.0,60.0,1.2,0.7,1855.6536406193277,1854.4244311822042,1854.1738012177498,54.64092927020412,True,False
2026-02-24 20:32:00,ETH/USDC,1m,1857.6,20,50,100,14,35.0,60.0,1.2,0.7,1855.839008174395,1854.5481855073801,1854.199983290516,59.55030291781409,True,False
2026-02-24 20:33:00,ETH/USDC,1m,1859.37,20,50,100,14,35.0,60.0,1.2,0.7,1856.1752931059777,1854.736624048227,1854.2674223490878,64.9125461711578,True,False
2026-02-24 20:34:00,ETH/USDC,1m,1858.36,20,50,100,14,35.0,60.0,1.2,0.7,1856.3833604358722,1854.8797531072992,1854.4039524770533,60.02291652744111,True,False
