ts,action,symbol,price,base_qty,quote_qty,reason,entry_ts,entry_price,pnl_usdc,pnl_pct,balance_usdc,balance_eth
2026-02-24T21:33:42.279936+00:00,BUY,ETH/USDC,1848.85,0.0,0.0,signal_buy,2026-02-24T21:32:00,1848.85,0.0,0.0,5.46688197,0.0
2026-02-24T21:35:10.808696+00:00,BUY,ETH/USDC,1849.01,0.0027,5.0,signal_buy,2026-02-24T21:34:00,1849.01,0.0,0.0,0.47455497,0.00269743
2026-02-24T21:57:37.962961+00:00,SELL,ETH/USDC,1853.65,0.0027,5.004855,rsi_extreme,2026-02-24T21:34:00,1849.01,0.01252799999999965,0.2509451003509916,5.27465536,0.00010479
